Index,Start Time,Stop Time,Event,Description,Active
385,01/Feb/2022 00:20:00,,ANALOG PT.  U12     REG_VELOC DISTRIBUIDOR POSIC,IS SET TO      0.0000                           ,Yes
386,01/Feb/2022 00:20:02,,* RESET PARA A PREPARACAO DE PARTIDA E PARTIDA *,                                                ,No
387,01/Feb/2022 00:20:02,,STATUS PT.  SF6_60  VAO_U13 SEC 96U13 A-38      ,IS PLACED IN THE OPEN STATE                     ,Yes
388,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN SINCRONIZADA,IS PLACED IN THE OPEN STATE                     ,Yes
389,01/Feb/2022 00:20:02,,STATUS PT.  U13     AGUA_PURA AGUA PURA PRONTA P,IS PLACED IN CLOSED STATE                       ,Yes
390,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     AGUA_PURA BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
391,01/Feb/2022 00:20:02,,STATUS PT.  U13     AGUA_PURA BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
392,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     AGUA_PURA BOMBA 1 TENSAO 120,IS PLACED IN CLOSED STATE                       ,Yes
393,01/Feb/2022 00:20:02,,STATUS PT.  U13     AGUA_PURA LIBERACAO PARA EXC,IS PLACED IN THE OPEN STATE                     ,Yes
394,01/Feb/2022 00:20:02,,STATUS PT.  U13     AGUA_PURA VALV AGUA BRUTA   ,IS PLACED IN THE OPEN STATE                     ,Yes
395,01/Feb/2022 00:20:02,,STATUS PT.  U13     AGUA_PURA VALV AGUA BRUTA   ,IS PLACED IN THE OPEN STATE                     ,Yes
396,01/Feb/2022 00:20:02,,STATUS PT.  U13     AUX_UNIDADE DISJ 52-1 UMCC-1,IS PLACED IN THE OPEN STATE                     ,Yes
397,01/Feb/2022 00:20:02,,STATUS PT.  U13     AUX_UNIDADE DISJ 52-2 UMCC-1,IS PLACED IN CLOSED STATE                       ,Yes
398,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     AUX_UNIDADE VENTILADOR 1 ANE,IS PLACED IN THE OPEN STATE                     ,Yes
399,01/Feb/2022 00:20:02,,STATUS PT.  U13     EXCITACAO EXCITACAO CONECTAD,IS PLACED IN THE OPEN STATE                     ,Yes
400,01/Feb/2022 00:20:02,,STATUS PT.  U13     EXCITACAO PRONTO PARA OPERAC,IS PLACED IN CLOSED STATE                       ,Yes
401,01/Feb/2022 00:20:02,,STATUS PT.  U13     EXCITACAO REG TENS AUTO/MAN ,IS PLACED IN CLOSED STATE                       ,Yes
402,01/Feb/2022 00:20:02,,STATUS PT.  U13     EXCITACAO SISTEMA RESFRIAMEN,IS PLACED IN THE OPEN STATE                     ,Yes
403,01/Feb/2022 00:20:02,,STATUS PT.  U13     EXCITACAO SISTEMA RESFRIAMEN,IS PLACED IN THE OPEN STATE                     ,Yes
404,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     GERADOR BOMBA 1 MANC ESC    ,IS PLACED IN THE OPEN STATE                     ,Yes
405,01/Feb/2022 00:20:02,01/Feb/2022 00:27:54,STATUS PT.  U13     GERADOR BOMBA 1 MANC ESC    ,IS PLACED IN CLOSED STATE                       ,Yes
406,01/Feb/2022 00:20:02,01/Feb/2022 00:27:48,STATUS PT.  U13     GERADOR BOMBA MANC ESC OLEO ,IS PLACED IN CLOSED STATE                       ,Yes
407,01/Feb/2022 00:20:02,,STATUS PT.  U13     GERADOR FREIOS APLICADOS    ,IS PLACED IN THE OPEN STATE                     ,Yes
408,01/Feb/2022 00:20:02,01/Feb/2022 00:23:12,STATUS PT.  U13     GERADOR FREIOS DESAPLICADOS ,IS PLACED IN THE OPEN STATE                     ,Yes
409,01/Feb/2022 00:20:02,,STATUS PT.  U13     GERADOR RES AQUEC BASE INFER,IS PLACED IN CLOSED STATE                       ,Yes
410,01/Feb/2022 00:20:02,,STATUS PT.  U13     GERADOR RESIST AQUEC REC GER,IS PLACED IN CLOSED STATE                       ,Yes
411,01/Feb/2022 00:20:02,,STATUS PT.  U13     GERADOR RESIST AQUEC RECINTO,IS PLACED IN CLOSED STATE                       ,Yes
412,01/Feb/2022 00:20:02,01/Feb/2022 00:22:41,STATUS PT.  U13     GERADOR UN COMANDO DE APLICA,IS PLACED IN CLOSED STATE                       ,Yes
413,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
414,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC BOMBA 1           ,IS PLACED IN THE OPEN STATE                     ,Yes
415,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC BOMBA 2           ,IS PLACED IN THE OPEN STATE                     ,Yes
416,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC BOMBA 3           ,IS PLACED IN THE OPEN STATE                     ,Yes
417,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC DISTRIBUIDOR FECHA,IS PLACED IN CLOSED STATE                       ,Yes
418,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC REALIMENTACAO     ,IS PLACED IN THE OPEN STATE                     ,Yes
419,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC TRAVA HIDRAULICA D,IS PLACED IN THE OPEN STATE                     ,Yes
420,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VALV ISOLADORA 20Q,IS PLACED IN THE OPEN STATE                     ,Yes
421,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VALV ISOLADORA 20Q,IS PLACED IN THE OPEN STATE                     ,Yes
422,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VALV SOLENOIDE BA ,IS PLACED IN THE OPEN STATE                     ,Yes
423,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VALV SOLENOIDE BB ,IS PLACED IN THE OPEN STATE                     ,Yes
424,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VELOC UNID MAIOR/I,IS PLACED IN THE OPEN STATE                     ,Yes
425,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VELOC UNID MAIOR/I,IS PLACED IN THE OPEN STATE                     ,Yes
426,01/Feb/2022 00:20:02,01/Feb/2022 00:20:31,STATUS PT.  U13     REG_VELOC VELOC UNID MENOR/I,IS PLACED IN CLOSED STATE                       ,Yes
427,01/Feb/2022 00:20:02,,STATUS PT.  U13     REG_VELOC VELOC UNID MENOR/I,IS PLACED IN CLOSED STATE                       ,Yes
428,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR AUXILIARES PARA,IS PLACED IN CLOSED STATE                       ,Yes
429,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR AUXILIARES PARA,IS PLACED IN CLOSED STATE                       ,Yes
430,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR CARG/FREQ AJUST,IS PLACED IN CLOSED STATE                       ,Yes
431,01/Feb/2022 00:20:02,01/Feb/2022 00:20:11,STATUS PT.  U13     SUPERV/CONTR UN COMANDO DE P,IS PLACED IN CLOSED STATE                       ,Yes
432,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN PREPARACAO D,IS PLACED IN THE OPEN STATE                     ,Yes
433,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN PREPARACAO D,IS PLACED IN THE OPEN STATE                     ,Yes
434,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN PRONTA PARA ,IS PLACED IN CLOSED STATE                       ,Yes
435,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN PRONTA PARA ,IS PLACED IN CLOSED STATE                       ,Yes
436,01/Feb/2022 00:20:02,,STATUS PT.  U13     SUPERV/CONTR UN TOTALMENTE P,IS PLACED IN CLOSED STATE                       ,Yes
437,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     TU KT-13 TENSAO CA 460VCA   ,IS PLACED IN CLOSED STATE                       ,Yes
438,01/Feb/2022 00:20:02,01/Feb/2022 00:20:04,STATUS PT.  U13     TU KT-13 TENSAO CA COMANDO F,IS PLACED IN CLOSED STATE                       ,Yes
439,01/Feb/2022 00:20:02,,STATUS PT.  U13     TU TROCADOR CALOR PRINC AGUA,IS PLACED IN THE OPEN STATE                     ,Yes
